Town,SB%Transformed,PropTar(3,Latitude,Longitude,Altitude,Rainfall,MaxSummer,MaxWinter,MinSummer,MinWinter,EvapVal,Aridity,SoilGroup,SAGeol,VegMapBiome
Fraserburg,0,Low,-31.9061111,21.5119444,1258,241.2274286,28,19,13.5,-1,2600,AridZone,Cambisols,Adelaide,Nama-Karoo
Gariepdam,3.551405772,Low,-30.5936372,25.490691,1291,406.7095625,28,19,13.5,1,1800,SemiAridZone,Regosols,Adelaide,Grassland
George,0,High,-33.96852214,22.45002113,204,895.5356154,23,19,15,7,1200,DrySubhumidZone,Solonetz,Malmesbury,Fynbos
Graaff_Reinet,8.743881232,High,-32.25567957,24.5453341,767,326.1106,28,21,15,5,2000,SemiAridZone,Leptosols,Adelaide,Albany
Grahamstown,0,High,-33.303792,26.522941,526,720.7211515,26,21,15,7,1400,SemiAridZone,Leptosols,Dwyka,Albany
Griquastad,0,Low,-28.84910199,23.25469325,1309,320.4244324,30,21,15,1,2200,AridZone,Calcisols,Transvaal,Savanna
Groblershoop,0,Low,-28.89613805,21.98383042,868,189.7036757,32,23,17.5,1,2600,AridZone,Cambisols,Waterberg,Nama-Karoo
Hankey,0,Medium,-33.83143656,24.88129072,40,436.3647429,28,23,17.5,9,1400,SemiAridZone,Luvisols,Uitenhage,Azonal
Hanover,4.983679298,Low,-31.06619118,24.44048709,1393,335.4026207,28,19,13.5,-1,2000,SemiAridZone,Luvisols,Adelaide,Nama-Karoo
Hobhouse,0,Low,-29.52945814,27.15232214,1471,609.2245217,26,19,13.5,-1,1600,SemiAridZone,Solonetz,Tarkastad,Grassland
Hofmeyr,0,Low,-31.65373363,25.80468906,1260,354.1195429,28,19,13.5,1,1800,SemiAridZone,Cambisols,Tarkastad,Nama-Karoo
Hopetown,0,Medium,-29.6230556,24.0833333,1089,315.37275,30,23,17.5,1,2200,AridZone,Luvisols,Ventersdor,Savanna
